seed,regime,fit,r2
0,static,lstsq-affine,0.5355628886620538
1,static,lstsq-affine,0.47050782335022734
2,static,lstsq-affine,0.409990918130714
3,static,lstsq-affine,0.5257308389455346
4,static,lstsq-affine,0.6293063578759149
5,static,lstsq-affine,0.6423057140650426
6,static,lstsq-affine,0.5656987823074708
7,static,lstsq-affine,0.5930109876950238
8,static,lstsq-affine,0.5163007693577644
9,static,lstsq-affine,0.5607890288953896
10,static,lstsq-affine,0.6121896871926267
11,static,lstsq-affine,0.7206085492859189
12,static,lstsq-affine,0.5794434671612508
13,static,lstsq-affine,0.6378226442521049
14,static,lstsq-affine,0.4439377299558115
15,static,lstsq-affine,0.5968829698841143
16,static,lstsq-affine,0.5789629119524121
17,static,lstsq-affine,0.6137761154970711
18,static,lstsq-affine,0.4568517681641914
19,static,lstsq-affine,0.48026706499481053
0,static,sgd-affine,0.4966675764356129
1,static,sgd-affine,0.4177677611843269
2,static,sgd-affine,0.3233301991779205
3,static,sgd-affine,0.4356701597061976
4,static,sgd-affine,0.6092491277314119
5,static,sgd-affine,0.6111312454590248
6,static,sgd-affine,0.5529636578383108
7,static,sgd-affine,0.5677560212317962
8,static,sgd-affine,0.43405010145372547
9,static,sgd-affine,0.5118194738779482
10,static,sgd-affine,0.585158243510157
11,static,sgd-affine,0.7156416859758262
12,static,sgd-affine,0.5362686297323283
13,static,sgd-affine,0.5782197142082595
14,static,sgd-affine,0.4014957706884209
15,static,sgd-affine,0.592546947351215
16,static,sgd-affine,0.5235613934113682
17,static,sgd-affine,0.6048164608893986
18,static,sgd-affine,0.4368542502074583
19,static,sgd-affine,0.444672824856296
0,vn,lstsq-affine,0.6714759009792266
1,vn,lstsq-affine,0.507387202745974
2,vn,lstsq-affine,0.5394913911180143
3,vn,lstsq-affine,0.5352824308429767
4,vn,lstsq-affine,0.5725873053150925
5,vn,lstsq-affine,0.6838116999809248
6,vn,lstsq-affine,0.6063134138535566
7,vn,lstsq-affine,0.5596533174615859
8,vn,lstsq-affine,0.566068038785889
9,vn,lstsq-affine,0.6039180213949955
10,vn,lstsq-affine,0.5885226116782374
11,vn,lstsq-affine,0.7121939722257757
12,vn,lstsq-affine,0.6269608020632562
13,vn,lstsq-affine,0.7154218764986779
14,vn,lstsq-affine,0.46658272782451515
15,vn,lstsq-affine,0.5973715231010228
16,vn,lstsq-affine,0.7088385798491177
17,vn,lstsq-affine,0.6055924978533935
18,vn,lstsq-affine,0.3933659483062202
19,vn,lstsq-affine,0.5696933182654182
0,vn,sgd-affine,0.5919090369370446
1,vn,sgd-affine,0.4599206847374372
2,vn,sgd-affine,0.40472688660439193
3,vn,sgd-affine,0.30017651833145176
4,vn,sgd-affine,0.5490993539958491
5,vn,sgd-affine,0.6749717106781282
6,vn,sgd-affine,0.5570838325233018
7,vn,sgd-affine,0.5211887893524572
8,vn,sgd-affine,0.48678025662386903
9,vn,sgd-affine,0.512873318017949
10,vn,sgd-affine,0.5603791582135444
11,vn,sgd-affine,0.7010520079575735
12,vn,sgd-affine,0.5745313589256118
13,vn,sgd-affine,0.5550256861525361
14,vn,sgd-affine,0.37184332354637617
15,vn,sgd-affine,0.5712603735098823
16,vn,sgd-affine,0.691697265520337
17,vn,sgd-affine,0.5900333083308421
18,vn,sgd-affine,0.3712471041826372
19,vn,sgd-affine,0.5447829469425087
