tau,w1,seed,bl_gain,a_gain,c2_gain
2.0,0.0,0,0.019999999999999907,0.0,-0.04500000000000004
2.0,0.0,1,0.04499999999999993,0.0,-0.015000000000000013
2.0,0.0,2,0.17000000000000004,0.0,0.06999999999999995
2.0,0.0,3,0.040000000000000036,0.0,-0.29
2.0,0.0,4,0.06499999999999995,0.0,-0.16500000000000004
2.0,0.0,5,0.06500000000000006,0.0,-0.015000000000000013
2.0,0.0,6,-0.06500000000000006,0.0,-0.17500000000000004
2.0,0.0,7,0.0050000000000000044,0.0,-0.19999999999999996
2.0,0.0,8,0.050000000000000044,0.0,0.010000000000000009
2.0,0.0,9,0.03499999999999992,0.0,-0.07000000000000006
2.0,0.0,10,0.040000000000000036,0.0,-0.19499999999999995
2.0,0.0,11,-0.0050000000000000044,0.0,-0.22499999999999998
2.0,0.0,12,0.07500000000000007,0.0,-0.05499999999999994
2.0,0.0,13,-0.04999999999999993,0.0,-0.235
2.0,0.0,14,0.010000000000000009,0.0,-0.18499999999999994
2.0,0.0,15,0.05999999999999994,0.0,-0.35000000000000003
2.0,0.0,16,0.07499999999999996,0.0,0.030000000000000027
2.0,0.0,17,0.08500000000000008,0.0,-0.04499999999999993
2.0,0.0,18,0.03500000000000003,0.0,0.010000000000000009
2.0,0.0,19,-0.029999999999999916,0.0,-0.2849999999999999
1.5,0.0,0,0.05499999999999994,0.0,-0.040000000000000036
1.5,0.0,1,0.05999999999999994,0.0,-0.040000000000000036
1.5,0.0,2,0.13,0.0,0.010000000000000009
1.5,0.0,3,0.06500000000000006,0.0,-0.24999999999999994
1.5,0.0,4,0.07499999999999996,0.0,-0.19500000000000006
1.5,0.0,5,0.04500000000000004,0.0,-0.010000000000000009
1.5,0.0,6,-0.05999999999999994,0.0,-0.17500000000000004
1.5,0.0,7,-0.0050000000000000044,0.0,-0.28
1.5,0.0,8,0.08999999999999997,0.0,0.05999999999999994
1.5,0.0,9,0.06499999999999995,0.0,-0.10499999999999998
1.5,0.0,10,0.04500000000000004,0.0,-0.23999999999999994
1.5,0.0,11,0.12,0.0,-0.04500000000000004
1.5,0.0,12,0.09000000000000008,0.0,-0.08999999999999997
1.5,0.0,13,-0.07500000000000007,0.0,-0.22499999999999998
1.5,0.0,14,0.06999999999999995,0.0,-0.19500000000000006
1.5,0.0,15,0.040000000000000036,0.0,-0.35000000000000003
1.5,0.0,16,0.04999999999999993,0.0,0.020000000000000018
1.5,0.0,17,0.08999999999999997,0.0,-0.06500000000000006
1.5,0.0,18,0.040000000000000036,0.0,0.010000000000000009
1.5,0.0,19,0.0050000000000000044,0.0,-0.2799999999999999
3.0,0.0,0,0.05999999999999994,0.0,0.025000000000000022
3.0,0.0,1,0.039999999999999925,0.0,-0.04500000000000004
3.0,0.0,2,0.13,0.0,0.07999999999999996
3.0,0.0,3,0.015000000000000013,0.0,-0.245
3.0,0.0,4,0.12,0.0,-0.13
3.0,0.0,5,0.0,0.0,-0.025000000000000022
3.0,0.0,6,-0.04500000000000004,0.0,-0.125
3.0,0.0,7,0.009999999999999898,0.0,-0.1050000000000001
3.0,0.0,8,0.06000000000000005,0.0,-0.030000000000000027
3.0,0.0,9,0.0050000000000000044,0.0,-0.09499999999999997
3.0,0.0,10,0.03499999999999992,0.0,-0.16000000000000003
3.0,0.0,11,-0.040000000000000036,0.0,-0.17000000000000004
3.0,0.0,12,0.07499999999999996,0.0,-0.020000000000000018
3.0,0.0,13,-0.010000000000000009,0.0,-0.15999999999999992
3.0,0.0,14,0.015000000000000013,0.0,-0.10499999999999998
3.0,0.0,15,0.025000000000000022,0.0,-0.31499999999999995
3.0,0.0,16,0.09499999999999997,0.0,0.020000000000000018
3.0,0.0,17,0.040000000000000036,0.0,-0.08999999999999997
3.0,0.0,18,0.050000000000000044,0.0,0.015000000000000013
3.0,0.0,19,-0.039999999999999925,0.0,-0.18999999999999995
2.0,0.1,0,0.0,0.0,-0.04499999999999993
2.0,0.1,1,0.0050000000000000044,0.0,-0.04999999999999993
2.0,0.1,2,0.1050000000000001,0.0,0.03500000000000003
2.0,0.1,3,0.040000000000000036,0.0,-0.29000000000000004
2.0,0.1,4,0.07499999999999996,0.0,-0.135
2.0,0.1,5,0.040000000000000036,0.0,-0.025000000000000022
2.0,0.1,6,-0.09000000000000008,0.0,-0.18500000000000005
2.0,0.1,7,-0.019999999999999907,0.0,-0.19999999999999996
2.0,0.1,8,0.0,0.0,0.020000000000000018
2.0,0.1,9,0.025000000000000022,0.0,-0.09499999999999997
2.0,0.1,10,0.030000000000000027,0.0,-0.19999999999999996
2.0,0.1,11,-0.025000000000000022,0.0,-0.22999999999999998
2.0,0.1,12,0.06500000000000006,0.0,-0.07999999999999996
2.0,0.1,13,-0.029999999999999916,0.0,-0.21499999999999997
2.0,0.1,14,0.0050000000000000044,0.0,-0.16499999999999992
2.0,0.1,15,-0.010000000000000009,0.0,-0.42
2.0,0.1,16,0.05499999999999994,0.0,0.0050000000000000044
2.0,0.1,17,0.08999999999999997,0.0,-0.05999999999999994
2.0,0.1,18,0.025000000000000022,0.0,0.0
2.0,0.1,19,-0.030000000000000027,0.0,-0.2849999999999999
