seed,noise,T,bl_acc_t1,bl_acc_t3,bl_gain,e1_acc_t1,e1_acc_t3,e1_acc_probmean,e1_acc_logprod,e1_gain_probmean,e1_gain_logprod,elapsed_s
0,0.5,3,0.9102999567985535,0.9285999536514282,0.018299996852874756,0.9102999567985535,0.91239994764328,0.9240999817848206,0.9241999983787537,0.01380002498626709,0.013900041580200195,0.19952130317687988
1,0.5,3,0.9005999565124512,0.9235000014305115,0.022900044918060303,0.9005999565124512,0.9039999842643738,0.9139999747276306,0.9142999649047852,0.013400018215179443,0.013700008392333984,0.011216402053833008
2,0.5,3,0.9060999751091003,0.926099956035614,0.019999980926513672,0.9060999751091003,0.9068999886512756,0.9174000024795532,0.9167999625205994,0.01130002737045288,0.010699987411499023,0.007210731506347656
3,0.5,3,0.9039999842643738,0.9226999878883362,0.018700003623962402,0.9039999842643738,0.9047999978065491,0.9161999821662903,0.9165999889373779,0.012199997901916504,0.01260000467300415,0.007950067520141602
4,0.5,3,0.9042999744415283,0.926099956035614,0.021799981594085693,0.9042999744415283,0.9049999713897705,0.9169999957084656,0.9168999791145325,0.012700021266937256,0.01260000467300415,0.007165193557739258
5,0.5,3,0.9042999744415283,0.9246000051498413,0.02030003070831299,0.9042999744415283,0.9024999737739563,0.9157999753952026,0.9167999625205994,0.011500000953674316,0.012499988079071045,0.007258892059326172
6,0.5,3,0.9106000065803528,0.9215999841690063,0.010999977588653564,0.9106000065803528,0.9088000059127808,0.924299955368042,0.9246999621391296,0.013699948787689209,0.014099955558776855,0.007250785827636719
7,0.5,3,0.9054999947547913,0.9243999719619751,0.018899977207183838,0.9054999947547913,0.9072999954223633,0.9195999503135681,0.9192999601364136,0.014099955558776855,0.013799965381622314,0.007170915603637695
8,0.5,3,0.9096999764442444,0.9284999966621399,0.018800020217895508,0.9096999764442444,0.90829998254776,0.9199000000953674,0.9192000031471252,0.010200023651123047,0.00950002670288086,0.0071086883544921875
9,0.5,3,0.9085999727249146,0.9233999848365784,0.014800012111663818,0.9085999727249146,0.9091999530792236,0.9204999804496765,0.9202999472618103,0.011900007724761963,0.011699974536895752,0.00720667839050293
10,0.5,3,0.913100004196167,0.9231999516487122,0.010099947452545166,0.913100004196167,0.9104999899864197,0.9221999645233154,0.92249995470047,0.009099960327148438,0.009399950504302979,0.007165431976318359
11,0.5,3,0.9078999757766724,0.9249999523162842,0.017099976539611816,0.9078999757766724,0.904699981212616,0.9188999533653259,0.9188999533653259,0.010999977588653564,0.010999977588653564,0.007403373718261719
12,0.5,3,0.9065999984741211,0.9261999726295471,0.019599974155426025,0.9065999984741211,0.9048999547958374,0.9199999570846558,0.9195999503135681,0.013399958610534668,0.012999951839447021,0.007302999496459961
13,0.5,3,0.9134999513626099,0.9264000058174133,0.012900054454803467,0.9134999513626099,0.9103999733924866,0.9264000058174133,0.9266999959945679,0.012900054454803467,0.013200044631958008,0.00718235969543457
14,0.5,3,0.9009000062942505,0.9241999983787537,0.023299992084503174,0.9009000062942505,0.9053999781608582,0.9158999919891357,0.9149999618530273,0.014999985694885254,0.014099955558776855,0.007274150848388672
15,0.5,3,0.9017999768257141,0.9258999824523926,0.024100005626678467,0.9017999768257141,0.9068999886512756,0.9167999625205994,0.9170999526977539,0.014999985694885254,0.015299975872039795,0.0073659420013427734
16,0.5,3,0.9115999937057495,0.9247999787330627,0.013199985027313232,0.9115999937057495,0.9062999486923218,0.920799970626831,0.9208999872207642,0.009199976921081543,0.009299993515014648,0.0072803497314453125
17,0.5,3,0.8973000049591064,0.9279999732971191,0.030699968338012695,0.8973000049591064,0.8968999981880188,0.9129999876022339,0.9128999710083008,0.01569998264312744,0.015599966049194336,0.007285356521606445
18,0.5,3,0.9049999713897705,0.9256999492645264,0.02069997787475586,0.9049999713897705,0.9077000021934509,0.9161999821662903,0.9165999889373779,0.011200010776519775,0.011600017547607422,0.007280826568603516
19,0.5,3,0.9083999991416931,0.9264999628067017,0.018099963665008545,0.9083999991416931,0.9025999903678894,0.9175999760627747,0.9174999594688416,0.009199976921081543,0.009099960327148438,0.007329463958740234
