seed,init,noise,epochs,bl_acc_t1,bl_acc_t3,bl_gain,e1_acc_t1,e1_acc_t3,e1_acc_probmean,e1_acc_logprod,e1_gain_probmean,e1_gain_logprod,elapsed_s
0,he_normal,0.5,1000,0.75,0.9350000023841858,0.1850000023841858,0.75,0.7300000190734863,0.8550000190734863,0.8700000047683716,0.10500001907348633,0.12000000476837158,3.2217729091644287
1,he_normal,0.5,1000,0.6600000262260437,0.7400000095367432,0.07999998331069946,0.6600000262260437,0.6299999952316284,0.8399999737739563,0.8399999737739563,0.1799999475479126,0.1799999475479126,1.476149559020996
2,he_normal,0.5,1000,0.8299999833106995,0.9350000023841858,0.10500001907348633,0.8299999833106995,0.800000011920929,0.9350000023841858,0.949999988079071,0.10500001907348633,0.12000000476837158,1.4712927341461182
3,he_normal,0.5,1000,0.5600000023841858,0.824999988079071,0.26499998569488525,0.5600000023841858,0.5649999976158142,0.5950000286102295,0.6499999761581421,0.0350000262260437,0.0899999737739563,1.5653276443481445
4,he_normal,0.5,1000,0.7450000047683716,0.9300000071525574,0.1850000023841858,0.7450000047683716,0.7099999785423279,0.8700000047683716,0.8600000143051147,0.125,0.11500000953674316,1.4306669235229492
5,he_normal,0.5,1000,0.7799999713897705,0.9800000190734863,0.20000004768371582,0.7799999713897705,0.7549999952316284,0.9399999976158142,0.949999988079071,0.1600000262260437,0.17000001668930054,1.4308347702026367
6,he_normal,0.5,1000,0.7699999809265137,0.8999999761581421,0.12999999523162842,0.7699999809265137,0.7749999761581421,0.8999999761581421,0.8899999856948853,0.12999999523162842,0.12000000476837158,1.4648442268371582
7,he_normal,0.5,1000,0.47999998927116394,0.5849999785423279,0.10499998927116394,0.47999998927116394,0.5450000166893005,0.5899999737739563,0.6000000238418579,0.10999998450279236,0.12000003457069397,1.4751110076904297
8,he_normal,0.5,1000,0.7549999952316284,0.8799999952316284,0.125,0.7549999952316284,0.7649999856948853,0.9100000262260437,0.9350000023841858,0.15500003099441528,0.18000000715255737,1.44148850440979
9,he_normal,0.5,1000,0.8500000238418579,0.8949999809265137,0.04499995708465576,0.8500000238418579,0.7699999809265137,0.9750000238418579,0.9750000238418579,0.125,0.125,1.404458999633789
10,he_normal,0.5,1000,0.7549999952316284,0.9350000023841858,0.18000000715255737,0.7549999952316284,0.7900000214576721,0.9049999713897705,0.9200000166893005,0.1499999761581421,0.16500002145767212,1.4954895973205566
11,he_normal,0.5,1000,0.7950000166893005,0.9399999976158142,0.14499998092651367,0.7950000166893005,0.824999988079071,0.9549999833106995,0.949999988079071,0.15999996662139893,0.1549999713897705,1.4930675029754639
12,he_normal,0.5,1000,0.7900000214576721,0.9300000071525574,0.13999998569488525,0.7900000214576721,0.7749999761581421,0.925000011920929,0.9449999928474426,0.13499999046325684,0.1549999713897705,1.5200989246368408
13,he_normal,0.5,1000,0.6949999928474426,0.8149999976158142,0.12000000476837158,0.6949999928474426,0.6899999976158142,0.8299999833106995,0.8349999785423279,0.13499999046325684,0.13999998569488525,1.4592044353485107
14,he_normal,0.5,1000,0.8100000023841858,0.9300000071525574,0.12000000476837158,0.8100000023841858,0.8050000071525574,0.9649999737739563,0.9649999737739563,0.1549999713897705,0.1549999713897705,1.7842497825622559
15,he_normal,0.5,1000,0.550000011920929,0.6949999928474426,0.14499998092651367,0.550000011920929,0.5350000262260437,0.6949999928474426,0.6700000166893005,0.14499998092651367,0.12000000476837158,1.8645503520965576
16,he_normal,0.5,1000,0.7799999713897705,0.9049999713897705,0.125,0.7799999713897705,0.7350000143051147,0.9200000166893005,0.8949999809265137,0.14000004529953003,0.11500000953674316,1.5939066410064697
17,he_normal,0.5,1000,0.6449999809265137,0.9200000166893005,0.27500003576278687,0.6449999809265137,0.6949999928474426,0.8199999928474426,0.7950000166893005,0.17500001192092896,0.15000003576278687,1.8569056987762451
18,he_normal,0.5,1000,0.7450000047683716,0.8500000238418579,0.10500001907348633,0.7450000047683716,0.7649999856948853,0.9449999928474426,0.949999988079071,0.19999998807907104,0.20499998331069946,1.5535228252410889
19,he_normal,0.5,1000,0.6850000023841858,0.875,0.1899999976158142,0.6850000023841858,0.6949999928474426,0.824999988079071,0.824999988079071,0.13999998569488525,0.13999998569488525,1.6054482460021973
