seed,n_pairs,cos_div_wrong_traj_mean,cos_div_wrong_traj_sd,cos_div_clone_mean,cos_div_clone_sd,elapsed_s
0,200,0.38628619629611693,0.41898845403468504,0.610171198796683,0.45653382741882315,106.48637008666992
1,200,0.3190432619857768,0.4359523687788554,0.3584576476960717,0.3459105153835864,106.41793060302734
2,200,0.194659336391465,0.2794775509845754,0.6596046123456409,0.2814986724061129,111.09519743919373
3,200,0.19382531065825553,0.24206833019430046,0.8783753889473681,0.3498032267195278,106.3761694431305
4,200,0.36260319446831635,0.4054339237334085,0.9148480008902077,0.5067884989022792,107.30870819091797
5,200,0.3381237905971322,0.4156912336279594,0.7197292071838167,0.46165936160448906,112.18150973320007
6,200,0.3654845775852704,0.5038412673146827,0.6725203400236793,0.3743479305274924,106.61812853813171
7,200,0.36014200139763325,0.4607802498498291,0.7157048861109644,0.4202425184017886,109.11408543586731
8,200,0.3448513878821366,0.35749074590884716,0.64794025903906,0.4553169900972336,109.11869144439697
9,200,0.327532280863731,0.3624574662309544,0.719665965897741,0.5343867279090777,106.33006143569946
10,200,0.45667576426061485,0.5271524083897751,0.5786162155127521,0.4866557063137121,109.89942598342896
11,200,0.3685984644991374,0.4302346048850659,0.394096878324726,0.2908827142173288,105.8030731678009
12,200,0.417889198126621,0.4105517532114538,0.5528236535976719,0.3538387128644285,106.8738808631897
13,200,0.1888336978272013,0.25125383726826894,0.502743632664004,0.37330818007454397,111.05243945121765
14,200,0.3645198540685021,0.41674792564808666,0.844146521025336,0.420910764235197,105.96524286270142
15,200,0.46979221940836297,0.4711333324517599,0.6901725755189219,0.3959503695401709,107.37303137779236
16,200,0.2291746378689048,0.2953177314417112,0.5107236328900862,0.40846833838379054,110.01364064216614
17,200,0.35739712541799534,0.4382984146549718,0.6099454891672529,0.33286412458325854,106.67895913124084
18,200,0.46419676670194393,0.43596177192407787,0.6315522482857959,0.4445078166108276,106.28978943824768
19,200,0.42631141802992134,0.5025945301245055,0.6076669574382898,0.36343775734296546,112.44487953186035
