neuron_id,intelligence_importance,correction_importance
h1_0,-0.010000000000000009,-0.0050000000000000044
h1_1,0.1050000000000001,0.03499999999999992
h1_2,0.010000000000000009,-0.010000000000000009
h1_3,0.025000000000000022,0.0
h1_4,0.09000000000000008,0.029999999999999916
h1_5,0.11499999999999999,0.03499999999999992
h1_6,0.07500000000000007,0.009999999999999898
h1_7,0.14500000000000002,0.04999999999999993
h1_8,0.03500000000000003,0.02499999999999991
h1_9,0.04500000000000004,-0.015000000000000013
h2_0,0.025000000000000022,-0.0050000000000001155
h2_1,0.15000000000000002,-0.0050000000000001155
h2_2,0.17000000000000004,-0.0050000000000001155
h2_3,0.05500000000000005,0.02499999999999991
h2_4,0.020000000000000018,0.029999999999999916
h2_5,0.16000000000000003,-0.015000000000000124
h2_6,-0.019999999999999907,0.039999999999999813
h2_7,0.010000000000000009,0.02499999999999991
h2_8,0.010000000000000009,-1.1102230246251565e-16
h2_9,0.11499999999999999,0.029999999999999916
